Name,Symbol,Sector
UnitedHealth Group Incorporated, UNH, Health Care
Goldman Sachs Group Inc., GS, Financials
Home Depot Inc., HD, Consumer Discretionary
McDonald's Corporation, MCD, Consumer Discretionary
Microsoft Corporation, MSFT, Information Technology
Amgen Inc., AMGN, Health Care
Visa Inc. Class A, V, Financials
Caterpillar Inc., CAT, Industrials
Boeing Company, BA, Industrials
Honeywell International Inc., HON, Industrials
Salesforce Inc., CRM, Information Technology
Travelers Companies Inc., TRV, Financials
Chevron Corporation, CVX, Energy
Johnson & Johnson, JNJ, Health Care
Apple Inc., AAPL, Information Technology
Procter & Gamble Company, PG, Consumer Staples
American Express Company, AXP, Financials
Walmart Inc., WMT, Consumer Staples
JPMorgan Chase & Co., JPM, Financials
International Business Machines Corporation, IBM, Information Technology
NIKE Inc. Class B, NKE, Consumer Discretionary
Merck & Co. Inc., MRK, Health Care
3M Company, MMM, Industrials
Walt Disney Company, DIS, Communication Services
Coca-Cola Company, KO, Consumer Staples
Dow Inc., DOW, Materials
Cisco Systems Inc., CSCO, Information Technology
Verizon Communications Inc., VZ, Communication Services
Walgreens Boots Alliance Inc., WBA, Consumer Staples
Intel Corporation, INTC, Information Technology
